hour,load
1667,77300
1668,53900
1669,-6500
1670,28000
1671,35100
1672,-5900
1673,500
1674,125900
1675,128800
1676,86100
1677,84200
1678,80200
1679,115200
1680,259400
1681,128400
1682,133000
1683,110500
1684,134900
1685,136600
1686,116000
1687,131300
1688,130400
1689,-138400
1690,77800
1691,61300
1692,31400
1693,-61800
1694,102400
1695,9000
1696,-61500
1697,-4400
1698,10400
1699,107000
1700,-51900
1701,48200
1702,31700
1703,140700
1704,50500
1705,52800
1706,143000
1707,42300
1708,61800
1709,159600
1710,52200
1711,166200
1712,170100
1713,-135000
1714,137300
1715,146600
1716,143700
1717,-11000
1718,32100
1719,41500
1720,8000
1721,8800
1722,130400
1723,123600
1724,62200
1725,65500
1726,150800
1727,180500
1728,83100
1729,91700
1730,209800
1731,80300
1732,224900
1733,114400
1734,97000
1735,119000
1736,121200
1737,-146400
1738,65500
1739,46500
1740,26000
1741,-33900
1742,3600
1743,2600
1744,-74400
1745,47300
1746,67300
1747,-8300
1748,29900
1749,144900
1750,32400
1751,160500
1752,166100
1753,172700
1754,66200
1755,158200
1756,177700
1757,180200
1758,165500
1759,69100
1760,71000
1761,-132200
1762,128900
1763,15900
1764,-600
1765,-69500
1766,-6200
1767,78000
1768,-81600
1769,-40700
1770,-12400
1771,84600
1772,-69500
1773,25700
1774,19400
1775,29600
1776,125900
1777,37500
1778,41900
1779,33000
1780,50900
1781,157000
1782,45300
1783,57600
1784,60000
1785,-173700
1786,129600
1787,130900
1788,119800
1789,-65100
1790,105500
1791,15700
1792,-54500
1793,-14900
1794,99500
1795,100800
1796,-54000
1797,43600
1798,31700
1799,141300
1800,146000
1801,151900
1802,58100
1803,45800
1804,162000
1805,164600
1806,53000
1807,63200
1808,62000
1809,-172200
1810,114300
1811,109200
1812,12100
1813,-66100
1814,13000
1815,99000
1816,-43300
1817,78000
1818,6500
1819,98300
1820,-55200
1821,42100
1822,32400
1823,47700
1824,146800
1825,154800
1826,60400
1827,47800
1828,169300
1829,174300
1830,165200
1831,179000
1832,75800
1833,-124000
1834,154400
1835,155400
1836,28400
1837,-57200
1838,10300
1839,7400
1840,-65900
1841,-10500
1842,5300
1843,103700
1844,-51800
1845,53800
1846,157600
1847,75600
1848,89800
1849,103000
1850,242500
1851,231300
1852,265400
1853,137300
1854,121300
1855,142100
1856,142300
1857,-65000
1858,217200
1859,191400
1860,39500
1861,-7000
1862,130700
1863,130900
1864,-54600
1865,89600
1866,110900
1867,117100
1868,-46700
1869,177900
1870,51800
1871,78400
1872,86600
1873,91700
1874,216700
1875,78700
1876,95600
1877,99200
1878,86000
1879,99800
1880,98900
1881,-153100
1882,53100
1883,46000
1884,25200
1885,-21500
1886,114700
1887,6600
1888,-31100
1889,-9800
1890,112200
1891,13300
1892,49700
1893,145400
1894,34000
1895,152800
1896,162300
1897,65800
1898,176400
1899,54500
1900,176700
1901,179800
1902,168600
1903,184500
1904,76100
1905,-162900
1906,34100
1907,19500
1908,-300
1909,-70500
1910,67600
1911,57100
1912,-93200
1913,21700
1914,-22700
1915,59500
1916,-79700
1917,108400
1918,111600
1919,120900
1920,30700
1921,142100
1922,45200
1923,145000
1924,163200
1925,171200
1926,168400
1927,189400
1928,76200
1929,-161000
1930,31000
1931,22700
1932,6700
1933,-89500
1934,84600
1935,-12400
1936,-90800
1937,24200
1938,61500
1939,-21400
1940,23000
1941,132800
1942,133300
1943,51300
1944,59800
1945,67700
1946,193100
1947,62100
1948,199100
1949,209600
1950,76900
1951,89000
1952,90300
1953,-115400
1954,150800
1955,126000
1956,103900
1957,-82200
1958,79200
1959,-10300
1960,-75600
1961,28600
1962,64100
1963,-15500
1964,18800
1965,120900
1966,115000
1967,128000
1968,38400
1969,44900
1970,47400
1971,36500
1972,150900
1973,154600
1974,43600
1975,53100
1976,50800
1977,-186700
1978,106900
1979,19200
1980,11400
1981,-79100
1982,93300
1983,93700
1984,-37300
1985,-14900
1986,10100
1987,102900
1988,-52800
1989,47200
1990,37700
1991,158400
1992,164200
1993,169100
1994,67700
1995,159000
1996,181500
1997,188200
1998,182600
1999,200400
2000,87900
2001,-152200
2002,62400
2003,63000
2004,46500
2005,-50400
2006,23400
2007,25300
2008,-3700
2009,113000
2010,135200
2011,143500
2012,-27700
2013,204000
2014,190700
2015,92600
2016,235700
2017,115300
2018,123700
2019,109100
2020,140500
2021,149400
2022,133600
2023,156000
2024,154700
2025,-43400
2026,243800
2027,79800
2028,54400
2029,9100
2030,29700
2031,159300
2032,13100
2033,-3700
2034,137000
2035,135900
2036,91000
2037,210900
2038,74300
2039,246400
2040,259300
2041,126600
2042,137700
2043,279400
2044,297100
2045,309600
2046,302800
2047,323400
2048,322000
2049,-34100
2050,99400
2051,80100
2052,58900
2053,-50600
2054,149800
2055,34100
2056,500
2057,95300
2058,124100
2059,130700
2060,83400
2061,75500
2062,66100
2063,93200
2064,237100
2065,111600
2066,117100
2067,109700
2068,283800
2069,279400
2070,114200
2071,123900
2072,116900
2073,-146700
2074,62100
2075,44800
2076,12300
2077,-74800
2078,72800
2079,-10200
2080,-64000
2081,63500
2082,74700
2083,77100
2084,-72300
2085,105400
2086,18000
2087,27700
2088,29800
2089,33500
2090,123700
2091,120000
2092,48100
2093,145500
2094,40900
2095,144900
2096,51400
2097,-155100
2098,102000
2099,9600
2100,4600
2101,-72600
2102,77500
2103,-2600
2104,-69900
2105,-18500
2106,80100
2107,900
2108,22200
2109,118800
2110,24100
2111,33200
2112,34700
2113,39800
2114,44700
2115,37300
2116,51600
2117,149200
2118,43300
2119,147400
2120,53800
2121,-173100
2122,109100
2123,111900
2124,18300
2125,-60500
2126,102400
2127,106300
2128,-52100
2129,81400
2130,10800
2131,9400
2132,34100
2133,42400
2134,118500
2135,46100
2136,50300
2137,146900
2138,59700
2139,43500
2140,158100
2141,69200
2142,143800
2143,61000
2144,55200
2145,-168200
2146,99200
2147,13800
2148,3000
2149,-76400
2150,75900
2151,1300
2152,-65900
2153,74400
2154,3100
2155,97000
2156,-55000
2157,137100
2158,131100
2159,149000
2160,58600
2161,64000
